Job Title,Company Name,Stipend,Posted On,Location,Internship Link
Interior Design Sales Assistant,LordsInteriorPvt.Ltd,"₹ 7,000 - 14,000 /month",2 days ago,"Chandigarh, Mohali, Zirakpur, Panchkula",https://internshala.com/internship/detail/interior-design-sales-assistant-internship-in-multiple-locations-at-lords-interior-pvt-ltd1744689039
Telecalling,BuddingMariners,"₹ 15,000 - 22,000 /month",1 day ago,"Jaipur, Rajas, Rajastheli",https://internshala.com/internship/detail/telecalling-internship-in-jaipur-at-budding-mariners1744804231
HR I\,WehireTalentSolutions,"₹ 5,000 /month",2 days ago,"Mumbai, Boriwali, Bandra",https://internshala.com/internship/detail/hr-i-internship-in-multiple-locations-at-wehire-talent-solutions1744718297
Marketing Executive (Onfield + Online),"WehireTalentSolutions(Mumbai,India)","₹ 5,000 /month",2 days ago,"Mumbai, Dahisar, Mira Road (Canada), Boriwali, Bandra",https://internshala.com/internship/detail/marketing-executive-onfield-online-internship-in-multiple-locations-at-wehire-talent-solutions1744718711
Social Media (Digital Media),WehireTalentSolutions,"₹ 5,000 /month",2 days ago,"Mumbai, Dahisar, Boriwali, Bandra, Mira Road",https://internshala.com/internship/detail/social-media-digital-media-internship-in-multiple-locations-at-wehire-talent-solutions1744718561
Architecture,EnduriSpacesAndStructures,"₹ 8,000 /month",1 week ago,Hyderabad,https://internshala.com/internship/detail/architecture-internship-in-hyderabad-at-enduri-spaces-and-structures1744014607
QA Testing,EssPeeQualityProducts,"₹ 10,000 - 20,000 /month",1 day ago,Mohali,https://internshala.com/internship/detail/qa-testing-internship-in-mohali-at-ess-pee-quality-products1744805799
Quality Analyst (Male),Polycrafts,"₹ 10,000 /month",7 days ago,Pune,https://internshala.com/internship/detail/quality-analyst-internship-in-pune-at-polycrafts1744278517
Marketing,S.DEnterprises,"₹ 12,000 - 15,000 /month",5 days ago,Bangalore,https://internshala.com/internship/detail/marketing-internship-in-bangalore-at-sd-enterprises1744445438
Video Editing/Making,DigitalDarzi,"₹ 4,999 - 5,000 /month",2 weeks ago,Jaipur,https://internshala.com/internship/detail/video-editing-making-internship-in-jaipur-at-digital-darzi1743406838
Human Resources (HR),ProtonXMedia,"₹ 7,000 - 10,000 /month",Few hours ago,Delhi,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-protonx-media1744896589
Talent Acquisition,CollegeDekho.com,"₹ 8,000 - 12,000 /month",Few hours ago,Jaipur,https://internshala.com/internship/detail/talent-acquisition-internship-in-jaipur-at-collegedekhocom1744894177
Business Development (Sales),ProtechmanizeSolutionsPv.tLtd.,"₹ 5,000 - 10,000 /month",2 days ago,"Thane, Navi Mumbai, Mumbai",https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-protechmanize-solutions-pvt-ltd1744719589
